2025-02-24 21:39:33,663 - CRITICAL - Missing required columns: ['PlyCount']
2025-02-24 21:39:34,161 - CRITICAL - Invalid move 'invalid_move' for game Game 1, turn W1. 
2025-02-24 21:39:55,878 - CRITICAL - Invalid move 'invalid_move' for game 1257, turn W1. 
2025-02-24 21:39:55,881 - CRITICAL - Invalid move 'invalid_move' for game 4376, turn W1. 
2025-02-24 21:39:55,895 - CRITICAL - Invalid move 'invalid_move' for game 2503, turn W1. 
2025-02-24 21:39:55,897 - CRITICAL - Invalid move 'invalid_move' for game 3128, turn W1. 
2025-02-24 21:39:55,898 - CRITICAL - Invalid move 'invalid_move' for game 634, turn W1. 
2025-02-24 21:39:55,899 - CRITICAL - Invalid move 'invalid_move' for game 635, turn W1. 
2025-02-24 21:39:55,900 - CRITICAL - Invalid move 'invalid_move' for game 2505, turn W1. 
2025-02-24 21:39:55,901 - CRITICAL - Invalid move 'invalid_move' for game 6876, turn W1. 
2025-02-24 21:39:55,913 - CRITICAL - Invalid move 'invalid_move' for game 8751, turn W1. 
2025-02-24 21:39:55,915 - CRITICAL - Invalid move 'invalid_move' for game 3133, turn W1. 
2025-02-24 21:39:55,918 - CRITICAL - Invalid move 'invalid_move' for game 4385, turn W1. 
2025-02-24 21:39:55,923 - CRITICAL - Invalid move 'invalid_move' for game 8754, turn W1. 
2025-02-24 21:39:55,923 - CRITICAL - Invalid move 'invalid_move' for game 2511, turn W1. 
2025-02-24 21:39:55,924 - CRITICAL - Invalid move 'invalid_move' for game 7506, turn W1. 
2025-02-24 21:39:55,925 - CRITICAL - Invalid move 'invalid_move' for game 1268, turn W1. 
2025-02-24 21:39:55,926 - CRITICAL - Invalid move 'invalid_move' for game 1269, turn W1. 
2025-02-24 21:39:55,932 - CRITICAL - Invalid move 'invalid_move' for game 5009, turn W1. 
2025-02-24 21:39:55,934 - CRITICAL - Invalid move 'invalid_move' for game 6884, turn W1. 
2025-02-24 21:39:55,935 - CRITICAL - Invalid move 'invalid_move' for game 6254, turn W1. 
2025-02-24 21:39:55,936 - CRITICAL - Invalid move 'invalid_move' for game 1889, turn W1. 
2025-02-24 21:39:55,938 - CRITICAL - Invalid move 'invalid_move' for game 8129, turn W1. 
2025-02-24 21:39:55,938 - CRITICAL - Invalid move 'invalid_move' for game 3139, turn W1. 
2025-02-24 21:39:55,939 - CRITICAL - Invalid move 'invalid_move' for game 6886, turn W1. 
